2026-02-16 10:58:20 INFO  BaseClass:23 - ===== Test Setup Started =====
2026-02-16 10:58:33 INFO  BaseClass:36 - Browser launched: chrome
2026-02-16 10:58:33 INFO  BaseClass:37 - Navigated to URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-02-16 10:58:33 INFO  LogHelper:13 - ===== Starting Login Test =====
2026-02-16 10:58:33 INFO  LogHelper:13 - Entering email: Admin
2026-02-16 10:58:39 INFO  LogHelper:13 - Entering password
2026-02-16 10:58:43 INFO  LogHelper:13 - Clicking login button
2026-02-16 10:58:51 INFO  LogHelper:13 - Login successful, Time At Work verified
2026-02-16 10:58:51 INFO  LogHelper:13 - ===== Login Test Completed =====
2026-02-16 10:58:51 INFO  BaseClass:43 - ===== Test Teardown Started =====
2026-02-16 10:58:51 INFO  BaseClass:47 - Browser closed successfully
2026-02-16 10:58:52 INFO  BaseClass:53 - Extent Reports flushed
