2026-02-20 12:51:11 INFO  BaseClassAK:23 - ======== Test Setup Started ========
2026-02-20 12:51:15 INFO  BaseClassAK:40 - Browser launched: null
2026-02-20 12:51:15 INFO  BaseClassAK:41 - Navigated to URL: https://signup.heroku.com/login
2026-02-20 12:51:15 INFO  BaseClassAK:42 - ExtentTest create for: TestLogin
2026-02-20 12:51:17 INFO  BaseClassAK:47 - ===== Teardown Started =====
2026-02-20 12:51:17 INFO  BaseClassAK:51 - Browser closed successfully
2026-02-20 12:51:18 INFO  BaseClassAK:58 - Extent Reports flushed
2026-02-20 12:51:30 INFO  BaseClass:24 - ===== Test Setup Started =====
2026-02-20 12:51:44 INFO  BaseClass:41 - Browser launched: chrome
2026-02-20 12:51:44 INFO  BaseClass:42 - Navigated to URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-02-20 12:51:44 INFO  BaseClass:43 - ExtentTest created for: testValidLogin
2026-02-20 12:51:44 INFO  LogHelper:13 - ===== Starting Login Test ======
2026-02-20 12:51:44 INFO  LogHelper:13 - Entering email
2026-02-20 12:51:48 INFO  LogHelper:13 - Entering password
2026-02-20 12:51:51 INFO  LogHelper:13 - Clicking login button
2026-02-20 12:51:55 INFO  LogHelper:13 - Login successful, Time At Work verified
2026-02-20 12:51:55 INFO  LogHelper:13 - ===== Login Test Completed =====
2026-02-20 12:51:55 INFO  BaseClass:49 - ===== Test Teardown Started =====
2026-02-20 12:51:56 INFO  BaseClass:53 - Browser closed successfully
2026-02-20 12:51:56 INFO  BaseClass:59 - Extent Reports flushed
2026-02-20 12:51:56 INFO  BaseClass:24 - ===== Test Setup Started =====
